Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691296
,EXR.D.GBP.EUR.SP00.A
,"ECB reference exchange rate, UK pound sterling/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[UK pound sterling ]
2023-09-01,0.85538
2023-08-31,0.85718
2023-08-30,0.85920
2023-08-29,0.85860
2023-08-28,0.85815
2023-08-25,0.85643
2023-08-24,0.85650
2023-08-23,0.85653
2023-08-22,0.85288
2023-08-21,0.85475
2023-08-18,0.85493
2023-08-17,0.85395
2023-08-16,0.85645
2023-08-15,0.85955
2023-08-14,0.86215
2023-08-11,0.86415
2023-08-10,0.86313
2023-08-09,0.86180
2023-08-08,0.86158
2023-08-07,0.86163
2023-08-04,0.86193
2023-08-03,0.86468
2023-08-02,0.86038
2023-08-01,0.85865
2023-07-31,0.85765
2023-07-28,0.85560
2023-07-27,0.85885
2023-07-26,0.85695
2023-07-25,0.86148
2023-07-24,0.86350
2023-07-21,0.86706
2023-07-20,0.86920
2023-07-19,0.86918
2023-07-18,0.85838
2023-07-17,0.85873
2023-07-14,0.85590
2023-07-13,0.85553
2023-07-12,0.85378
2023-07-11,0.85110
2023-07-10,0.85733
2023-07-07,0.85298
2023-07-06,0.85310
2023-07-05,0.85685
2023-07-04,0.85673
2023-07-03,0.85980
2023-06-30,0.85828
2023-06-29,0.86400
2023-06-28,0.86420
2023-06-27,0.85990
2023-06-26,0.85878
2023-06-23,0.85479
2023-06-22,0.86115
2023-06-21,0.85828
2023-06-20,0.85705
2023-06-19,0.85268
2023-06-16,0.85428
2023-06-15,0.85555
2023-06-14,0.85455
2023-06-13,0.85850
2023-06-12,0.85678
2023-06-09,0.85795
2023-06-08,0.86113
2023-06-07,0.85970
2023-06-06,0.86103
2023-06-05,0.86323
2023-06-02,0.85930
2023-06-01,0.85823
2023-05-31,0.86405
2023-05-30,0.86365
2023-05-29,0.86805
2023-05-26,0.86813
2023-05-25,0.86793
2023-05-24,0.86993
2023-05-23,0.86993
2023-05-22,0.86846
2023-05-19,0.86840
2023-05-18,0.86890
2023-05-17,0.86895
2023-05-16,0.86938
2023-05-15,0.86943
2023-05-12,0.87020
2023-05-11,0.86795
2023-05-10,0.86813
2023-05-09,0.86990
2023-05-08,0.87228
2023-05-05,0.87378
2023-05-04,0.88015
2023-05-03,0.88265
2023-05-02,0.87868
2023-04-28,0.88050
2023-04-27,0.88428
2023-04-26,0.88560
2023-04-25,0.88645
2023-04-24,0.88463
2023-04-21,0.88570
2023-04-20,0.88153
2023-04-19,0.88108
2023-04-18,0.88143
2023-04-17,0.88373
2023-04-14,0.88440
2023-04-13,0.88058
2023-04-12,0.88038
2023-04-11,0.87738
2023-04-06,0.87495
2023-04-05,0.87685
2023-04-04,0.87333
2023-04-03,0.87790
